提出日,確定状況,編集日,,Idマージ　自動転記,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,分類 ID,新規追加,新規追加,LV,L1,L2,L3,L4,L5,L6,XA3A移行数,XA3P移行数,画像挿入,自動転記の為入力不要,,英語文字数,K列からの自動転記,,,,,,,,,,,,,,,,,,,分類属性No1,,,分類属性No2,,,分類属性No3,,,分類属性No4,,,分類属性No5,,,分類属性No6,,,分類属性No7,,,分類属性No8,,,分類属性No9,,,分類属性No10,,,分類属性No11,,,分類属性　TOP,,,,,,,
NSSOL提出日,確定状況,確定日,品名タイプ,並べ替え用ID,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,PLM ID,品名ID,語彙マスタID,Lv,L1-J,L2-J,L3-J,L4-J,L5-J,L6-J,XA3A移行数,XA3P移行数,アイコン画像,最下層名称　日本語（Japanese）,最下層名称　マスタ（master),英B数,内部名,DFK辞典,分類ツリー　英語（US)　English United States,分類ツリー　英語(UK)　English United Kingdom,分類ツリー　韓国語　Korean,分類ツリー 中国語簡体　Chinese China,分類ツリー 中国語繁体　Chinese Taiwan,GL勘定コード,分類/品名,部品分類,規格化対象,ケーブルASSYの有無,納品WTP,品目WTP,名称分類,品名説明,具体的な製品の用途例,品名及び分類属性に対しての懸念,主な部品メーカー,ID-1,分類属性-1,分類属性値-1,ID-2,分類属性-2,分類属性値-2,ID-3,分類属性-3,分類属性値-3,ID-4,分類属性-4,分類属性値-4,ID-5,分類属性-5,分類属性値-5,ID-6,分類属性-6,分類属性値-6,ID-7,分類属性-7,分類属性値-7,ID-8,分類属性-8,分類属性値-8,ID-9,分類属性-9,分類属性値-9,ID-10,分類属性-10,分類属性値-10,ID-11,分類属性-11,分類属性値-11,ID-TOP,分類属性-TOP,分類属性値-TOP,付与ID,言語種類,最下層名称の読み方　カタカナ,日本語頭文字,略語の正式名称
2021/5/10,確定,5/7,分類＝品名,004_001_001_007,004,001,001,007,,,1014,1014,SV,4,機械部品,動力発生機器部品,モータ,ブラシモータ,,,,,,ブラシモータ,BRUSH_MOTOR,11,1014,DFK辞典なし,,,BRUSH_MOTOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ブラシモータ,,,TSUKASA,89,電源電圧(V),実数値,,,,2,ブレーキ有無,"有,無",,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1014,カタカナのみ,ブラシモータ,ブ,
2021/5/17,再確定,5/7,分類＝品名,004_001_001_008,004,001,001,008,,,667,667,SV,4,機械部品,動力発生機器部品,モータ,減速機付モータ,,,11,,,減速機付モータ,MOTOR_WITH_REDUCER,18,0667,DFK辞典なし,,,MOTOR_WITH_REDUCER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,汎用モータに予め減速機が取り付いた品,,,,89,電源電圧(V),実数値,118,モータ出力(W),実数値,55,減速比,実数値,622,減速機タイプ１,"直行軸,平行軸,同芯軸",200,減速機取付方法,"フランジ式,脚式,DFK特注式",2,ブレーキ有無,"有,無",,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",667,漢字+カタカナ,ゲンソクキツキモータ,ゲ,
2021/5/10,確定,4/13,分類＝品名,004_001_002,004,001,002,,,,664,664,SV,3,機械部品,動力発生機器部品,電動アクチュエータ,,,,10,,,電動アクチュエータ,ELECTRICAL_ACTUATOR,19,0664,DFK辞典なし,,,ELECTRICAL_ACTUATOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ボールネジやガイドが内蔵されて直線動作を伴うモータやモータドライバが一体になっているアクチュエータ,,,"IAI,ORIENTAL",717,移動ストローク(mm),実数値,,,,,,,,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",664,漢字+カタカナ,デンドウアクチュエータ,デ,
2021/5/10,確定,4/13,分類,004_001_003,004,001,003,,,,674,674,SV,3,機械部品,動力発生機器部品,モータドライバ,,,,,,,モータドライバ,MOTOR_DRIVER,12,0674,DFK辞典なし,,,MOTOR_DRIVER,,,,分類,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,モータを動かすためのコントローラ,,,"PANASONIC,SANYO",,,,,,,,,,89,電源電圧(V),実数値,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,カタカナのみ,モータドライバ,モ,
2022/5/26,再確定,5/26,分類＝品名,004_001_003_001,004,001,003,001,,,675,675,SV,4,機械部品,動力発生機器部品,モータドライバ,サーボモータ用ドライバ,,,52,2,,サーボモータ用ドライバ,SERVO_MOTOR_DRIVER,18,0675,DFK辞典なし,,,SERVO_MOTOR_DRIVER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,サーボモータ用コントローラ、サーボアンプもこの分類に該当する,,,"PANASONIC,SANYO",261,1次側電圧種類,"AC,DC,AC/DC",86,電圧相1,単相,87,電圧相2,三相,89,電源電圧(V),実数値,435,モータドライバ駆動制御方式1,"パルス列,省配線タイプ",621,サーボモータ用ドライバタイプ,"インクリメンタル,アブソリュート",,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",675,漢字+カタカナ,サーボモータヨウドライバ,サ,
2022/5/26,再確定,5/26,分類＝品名,004_001_003_002,004,001,003,002,,,676,676,SV,4,機械部品,動力発生機器部品,モータドライバ,ステッピングモータ用ドライバ,,,9,,,ステッピングモータ用ドライバ,STEPPING_MOTOR_DRIVER,21,0676,DFK辞典なし,,,STEPPING_MOTOR_DRIVER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,ステッピングモータ用のコントローラ,,,"ORIENTAL,SANYO",261,1次側電圧種類,"AC,DC,AC/DC",86,電圧相1,単相,87,電圧相2,三相,89,電源電圧(V),実数値,435,モータドライバ駆動制御方式1,"パルス列,省配線タイプ",425,ステッピングモータ仕様,"2相,5相",,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",676,漢字+カタカナ,ステッピングモータヨウドライバ,ス,
2022/5/26,再確定,5/26,分類＝品名,004_001_003_003,004,001,003,003,,,677,677,SV,4,機械部品,動力発生機器部品,モータドライバ,ブラシレスモータ用ドライバ,,,13,,,ブラシレスモータ用ドライバ,BRUSHLESS_MOTOR_DRIVER,22,0677,DFK辞典なし,,,BRUSHLESS_MOTOR_DRIVER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,ブラシレスモータのコントローラ,,,TSUKASA,,,,,,,,,,89,電源電圧(V),実数値,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",677,漢字+カタカナ,ブラシレスモータヨウドライバ,ブ,
2022/7/11,確定,7/11,分類＝品名,004_001_003_003,004,001,003,003,,,1641,1641,SV,4,機械部品,動力発生機器部品,モータドライバ,インバータ,,,,,,インバータ,INVERTER,,1641,インバータ,,,INVERTER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,三相モータを動かすための機器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1641,,インバータ,イ,
2022/5/6,再確定,5/6,品名任意,004_001_004,004,001,004,,,,678,678,SV,3,機械部品,動力発生機器部品,モータドライバ周辺機器,,,,3,,,モータドライバ周辺機器,MOTOR_DRIVER_ACCESSORY,22,0678,DFK辞典なし,,,MOTOR_DRIVER_ACCESSORY,,,,品名,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,品目,DFK用語,モータ取付金具など,,,"PANASONIC,SANYO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",678,漢字+カタカナ,モータドライバシュウヘンキキ,モ,
2021/5/10,確定,4/13,分類,004_001_005,004,001,005,,,,661,661,SV,3,機械部品,動力発生機器部品,ソレノイド,,,,,,,ソレノイド,SOLENOID,8,0661,ソレノイド,,,SOLENOID,螺?管,螺線管,,分類,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,電磁力により動力を発生させるデバイス,,,タカノ,89,電源電圧(V),実数値,,,,,,,,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,カタカナのみ,ソレノイド,ソ,
