提出日,確定状況,編集日,,Idマージ　自動転記,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,分類 ID,新規追加,新規追加,LV,L1,L2,L3,L4,L5,L6,XA3A移行数,XA3P移行数,画像挿入,自動転記の為入力不要,,英語文字数,K列からの自動転記,,,,,,,,,,,,,,,,,,,分類属性No1,,,分類属性No2,,,分類属性No3,,,分類属性No4,,,分類属性No5,,,分類属性No6,,,分類属性No7,,,分類属性No8,,,分類属性No9,,,分類属性No10,,,分類属性No11,,,分類属性　TOP,,,,,,,
NSSOL提出日,確定状況,確定日,品名タイプ,並べ替え用ID,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,PLM ID,品名ID,語彙マスタID,Lv,L1-J,L2-J,L3-J,L4-J,L5-J,L6-J,XA3A移行数,XA3P移行数,アイコン画像,最下層名称　日本語（Japanese）,最下層名称　マスタ（master),英B数,内部名,DFK辞典,分類ツリー　英語（US)　English United States,分類ツリー　英語(UK)　English United Kingdom,分類ツリー　韓国語　Korean,分類ツリー 中国語簡体　Chinese China,分類ツリー 中国語繁体　Chinese Taiwan,GL勘定コード,分類/品名,部品分類,規格化対象,ケーブルASSYの有無,納品WTP,品目WTP,名称分類,品名説明,具体的な製品の用途例,品名及び分類属性に対しての懸念,主な部品メーカー,ID-1,分類属性-1,分類属性値-1,ID-2,分類属性-2,分類属性値-2,ID-3,分類属性-3,分類属性値-3,ID-4,分類属性-4,分類属性値-4,ID-5,分類属性-5,分類属性値-5,ID-6,分類属性-6,分類属性値-6,ID-7,分類属性-7,分類属性値-7,ID-8,分類属性-8,分類属性値-8,ID-9,分類属性-9,分類属性値-9,ID-10,分類属性-10,分類属性値-10,ID-11,分類属性-11,分類属性値-11,ID-TOP,分類属性-TOP,分類属性値-TOP,付与ID,言語種類,最下層名称の読み方　カタカナ,日本語頭文字,略語の正式名称
2022/5/12,登録しない,5/12,品名推奨LIST,004_106_003_011_002,004,106,003,011,002,,210,R210,SV,5,機械部品,締結関連部品,座金,特殊座金,防水座金,,,,,防水座金,WATERPROOF_WASHER,17,0210,DFK辞典なし,,,WATERPROOF_WASHER,,,,品名推奨LIST,製作部品,コンテンツセンタ登録なし,,,品目,用途用語,ねじ穴からの流体の漏れを防止できるワッシャ。,,,,149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1508,漢字+カタカナ,ボウスイザガネ,ボ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_106_003_011_003,004,106,003,011,003,,211,R211,SV,5,機械部品,締結関連部品,座金,特殊座金,ばね座金_波形,,,,,ばね座金_波形,WAVE_WASHER,11,0211,DFK辞典なし,,,WAVE_WASHER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録JIS B 1251:2018,,,品目,一般用語,ワッシャが弧状に曲がったワッシャで、ゆるみ防止に使用する。,,,,132,外径(mm),実数値,133,内径(mm),実数値,149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1508,漢字+ひらがな+アンダーバー,バネザガネ_ナミカタ,バ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_106_003_011_004,004,106,003,011,004,,212,R212,SV,5,機械部品,締結関連部品,座金,特殊座金,抜け止め座金,,,,,抜け止め座金,RETAINING_WASHER,16,0212,DFK辞典なし,,,RETAINING_WASHER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,穴部に突起がありボルトからワッシャが抜けにくいワッシャ。,,,,149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1508,漢字+カタカナ+ひらがな,ヌケトメザガネ,ヌ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_106_003_011_005,004,106,003,011,005,,163,R163,SV,5,機械部品,締結関連部品,座金,特殊座金,球面座金,,,,,球面座金,SPHERICAL_WASHER,16,0163,DFK辞典なし,,,SPHERICAL_WASHER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,,,,,149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",340,鉄系,"鉄鋼系,SUS系",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1508,漢字+カタカナ,キュウメンザガネ,キ,
2022/5/26,登録しない,5/26,品名推奨LIST,004_106_003_011_006,004,106,003,011,006,,164,R164,SV,5,機械部品,締結関連部品,座金,特殊座金,化粧座金,,,,,化粧座金,DRESSING_WASHER,15,0164,DFK辞典なし,,,DRESSING_WASHER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,,,,,149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",340,鉄系,"鉄鋼系,SUS系",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1508,漢字+カタカナ,ケショウザガネ,ケ,
2022/5/12,再確定,5/12,品名任意,004_106_003_012,004,106,003,012,,,1577,1577,SV,4,機械部品,締結関連部品,座金,ばね座金,,,10,,,ばね座金,SPRING WASHER,13,1577,DFK辞典なし,,,SPRING WASHER,,,,品名,カタログ購入品,コンテンツセンタ登録,,,品目,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1577,漢字+ひらがな,バネザガネ,バ,
2022/4/14,再確定,4/14,品名任意,004_106_005,004,106,005,,,,105,105,SV,3,機械部品,締結関連部品,インサート,,,,,,,インサート,INSERT,6,0105,DFK辞典なし,,,INSERT,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",105,カタカナのみ,インサート,イ,
2022/4/14,再確定,4/14,品名任意,004_106_005_002,004,106,005,002,,,106,106,SV,3,機械部品,締結関連部品,ナットサート,,,,2,,,ナットサート,NUTSERT,7,0106,DFK辞典なし,,,NUTSERT,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,タップが立てられない薄板にめねじを施行する金具,,,,149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",106,カタカナのみ,ナットサート,ナ,
2022/4/14,再確定,4/14,品名任意,004_106_005_003,004,106,005,003,,,1567,1567,SV,3,機械部品,締結関連部品,エンザート,,,,15,,,エンザート,ENSAT,5,1567,DFK辞典なし,,,ENSAT,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,421,エンザートタイプ,"チップフリー,割溝",149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1567,カタカナのみ,エンザート,エ,
2022/5/9,再確定,5/9,品名任意,004_106_006,004,106,006,,,,1558,1558,SV,3,機械部品,締結関連部品,アンカ,,,,48,,,アンカ,ANCHOR,6,1558,アンカ,,,ANCHOR,?；固定；地脚螺栓,錨?,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1558,カタカナのみ,アンカ,ア,
2022/5/26,登録しない,5/26,品名推奨LIST,004_106_006_001,004,106,006,001,,,1562,R1562,SV,4,機械部品,締結関連部品,アンカ,オールアンカ,,,,,,オールアンカ,STRIKE_ANCHOR,13,1562,オールアンカ,,,STRIKE_ANCHOR,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語(商標）,オールアンカーはサンコーテクノが商標登録している「製品名」。芯棒打ち込みタイプのアンカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1558,カタカナのみ,オールアンカ,オ,
2022/5/9,登録しない,5/9,品名推奨LIST,004_106_006_002,004,106,006,002,,,1559,R1559,SV,4,機械部品,締結関連部品,アンカ,ケミカルアンカ,,,,,,ケミカルアンカ,CHEMICAL_ANCHOR,15,1559,ケミカルアンカ,,,CHEMICAL_ANCHOR,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語(商標）,日本デコラックスの商標,,,日本デコラックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1558,カタカナのみ,ケミカルアンカ,ケ,
2022/5/13,再確定,5/13,品名任意,004_106_007,004,106,007,,,,1606,1606,SV,3,機械部品,締結関連部品,ばね式ナット緩み止め,,,,23,,,ばね式ナット緩み止め,SPRING_TYPE_NUT,15,1606,DFK辞典なし,,,SPRING_TYPE_NUT,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,ばねを使ったナットの緩み止め、脱落防止部品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1606,漢字+カタカナ+ひらがな,バネシキナットユルミトメ,バ,
2022/4/4,登録しない,1/21,品名推奨LIST,004_106_007_001,004,106,007,001,,,1570,R1570,SV,4,機械部品,締結関連部品,ばね式ナット緩み止め,ハイパーロードスプリング,,,,,,ハイパーロードスプリング,HYPERLOAD SPRING,16,1570,DFK辞典なし,,,HYPERLOAD SPRING,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,品目,メーカ用語(商標）,ナットのゆるみ・脱落を完璧に防止するゆるみ止め。,,,,420,フック形状,"ノーマル,バタフライ,ホリゾンタル",149,ネジサイズ,"M2,M2.5,M3,M4,M5,M6,M8,M10,M12,M16,M20,M24,M30",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1606,カタカナのみ,ハイパーロードスプリング,ハ,
2022/4/4,登録しない,1/21,品名推奨LIST,004_106_008_002,004,106,008,002,,,1575,R1575,SV,4,機械部品,締結関連部品,ばね式ナット緩み止め,タモント,,,,,,タモント,TAMONT,6,1575,DFK辞典なし,,,TAMONT,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,品目,メーカ用語(商標）,ボルト・ナットの緩み、脱落防止スプリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1606,カタカナのみ,タモント,タ,
2022/1/27,確定,1/21,分類＝品名,004_106_009,004,106,009,,,,1576,1576,SV,3,機械部品,締結関連部品,オープンタイプリベット,,,,16,,,オープンタイプリベット,OPEN_TYPE_RIVET,15,1576,DFK辞典なし,,,OPEN_TYPE_RIVET,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1576,カタカナのみ,オープンタイプリベット,オ,
2022/5/26,再確定,5/26,分類,004_113,004,113,,,,,257,257,SV,2,機械部品,機械小物部品,,,,,,,,機械小物部品,SMALL_MECHANICAL_PARTS,22,0257,DFK辞典なし,,,SMALL_MECHANICAL_PARTS,,,,分類,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,,一般用語,頻繁に使用する機械小物部品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字のみ,キカイコモノブヒン,キ,
2022/4/8,再確定,4/8,品名任意,004_113_001,004,113,001,,,,258,258,SV,3,機械部品,機械小物部品,カラー,,,,20,58,,カラー,COLLAR,6,0258,カラー,,,COLLAR,凸?；套?，套管；?圈,凸?，套環，軸環；彩色,,品名,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,,一般用語,円筒形の部品。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",258,カタカナのみ,カラー,カ,
2022/7/20,削除,7/20,品名推奨LIST,004_113_001_001,004,113,001,001,,,259,R259,SV,4,機械部品,機械小物部品,カラー,金属カラー,,,,,,金属カラー,METAL_COLLAR,12,0259,DFK辞典なし,,,METAL_COLLAR,,,,品名推奨LIST,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,,一般用語,金属製の円筒形の部品。ここでは基板を浮かすために使用する品はスペーサに分類する事。,,,,112,製作元,"購入品,内製品",133,内径(mm),実数値,132,外径(mm),実数値,129,長さL(mm),実数値,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字+カタカナ,キンゾクカラー,キ,
2022/7/20,削除,7/20,品名推奨LIST,004_113_001_002,004,113,001,002,,,1019,R1019,SV,4,機械部品,機械小物部品,カラー,樹脂カラー,,,,,,樹脂カラー,PLASTIC_COLLAR,14,1019,DFK辞典なし,,,PLASTIC_COLLAR,,,,品名推奨LIST,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,,一般用語,樹脂製の円筒形の部品。ここでは基板を浮かすために使用する品はスペーサに分類する事。,,,,112,製作元,"購入品,内製品",133,内径(mm),実数値,132,外径(mm),実数値,129,長さL(mm),実数値,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字+カタカナ,ジュシカラー,ジ,
2022/4/5,再確定,4/5,品名任意,004_113_002,004,113,002,,,,260,260,SV,3,機械部品,機械小物部品,平行キー,,,,5,,,平行キー,PARALLEL_KEY,12,0260,DFK辞典なし,,,PARALLEL_KEY,?,鍵,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,軸から歯車やローラに回転力を伝える部品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",260,漢字+カタカナ,ヘイコウキー,ヘ,
2022/4/5,登録しない,4/5,品名推奨LIST,004_113_002_001,004,113,002,001,,,261,R261,SV,4,機械部品,機械小物部品,平行キー,平行キー_片丸形,,,,,,平行キー_片丸形,PARALLEL_KEY_ONE_ROUND,22,0261,DFK辞典なし,,,PARALLEL_KEY_ONE_ROUND,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録,,,,一般用語,軸から歯車やローラに回転力を伝える部品で片方の端部が丸タイプ、反対の端部が角タイプの品。,,コンテンツセンターの品名をコピー,市販,340,鉄系,"鉄鋼系,SUS系",153,キー幅(mm),実数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",260,漢字+カタカナ+アンダーバー,ヘイコウキー_カタマルガタ,ヘ,
2022/4/5,登録しない,4/5,品名推奨LIST,004_113_002_002,004,113,002,002,,,262,R262,SV,4,機械部品,機械小物部品,平行キー,平行キー_両角形,,,,,,平行キー_両角形,PARALLEL KEY_STRAIGHT,21,0262,DFK辞典なし,,,PARALLEL KEY_STRAIGHT,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録,,,,一般用語,軸から歯車やローラに回転力を伝える部品で両方の端部が角タイプの品。,,,市販,340,鉄系,"鉄鋼系,SUS系",153,キー幅(mm),実数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",260,漢字+カタカナ+アンダーバー,ヘイコウキー_リョウカクガタ,ヘ,
2022/4/5,登録しない,4/5,品名推奨LIST,004_113_002_003,004,113,002,003,,,263,R263,SV,4,機械部品,機械小物部品,平行キー,平行キー_両丸形,,,,,,平行キー_両丸形,PARALLEL KEY_BOTH ENDS ROUND,28,0263,DFK辞典なし,,,PARALLEL KEY_BOTH ENDS ROUND,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録,,,,一般用語,軸から歯車やローラに回転力を伝える部品で両方の端部が丸タイプの品,,,市販,340,鉄系,"鉄鋼系,SUS系",153,キー幅(mm),実数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",260,漢字+カタカナ+アンダーバー,ヘイコウキー_リョウマルガタ,ヘ,
2022/4/8,再確定,4/8,品名任意,004_113_003,004,113,003,,,,264,264,SV,3,機械部品,機械小物部品,キャップ,,,,24,,,キャップ,CAP,3,0264,DFK辞典なし,,,CAP,,,,品名,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,,一般用途用語,美観用のパイプ用の蓋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",264,カタカナのみ,キャップ,キ,
2022/5/26,登録しない,5/26,品名推奨LIST,004_113_003_001,004,113,003,001,,,265,R265,SV,4,機械部品,機械小物部品,キャップ,中栓,,,,,,中栓,HOLE_PLUG,9,0265,DFK辞典なし,,,HOLE_PLUG,,,,品名推奨LIST,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,,一般用途用語,パイプ用の蓋,,,,322,形状,"角型,丸型",38,外観色,"赤,青,黒,白,緑,黄,グレー,ライトグレー,アイボリ,橙",112,製作元,"購入品,内製品",,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",264,漢字のみ,チュウセン,チ,
2022/5/26,登録しない,5/26,品名推奨LIST,004_113_003_002,004,113,003,002,,,1561,R1561,SV,4,機械部品,機械小物部品,キャップ,ボルトキャップ,,,,,,ボルトキャップ,BOLT_CAP,8,1561,DFK辞典なし,,,BOLT_CAP,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用途用語,ボルトの頭や、タップを保護したり隠したりするキャップ。樹脂製や金属製,,,岩田製作所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",264,カタカナのみ,ボルトキャップ,ボ,
2022/4/1,再確定,4/1,品名任意,004_113_004,004,113,004,,,,266,266,SV,3,機械部品,機械小物部品,止め輪,,,,14,,,止め輪,RETAINING_RING,14,0266,DFK辞典なし,,,RETAINING_RING,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,軸や穴に取り付けた部品やベアリングの抜けを防止するための金具。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",266,漢字+ひらがな,トメワ,ト,
2022/4/5,登録しない,4/5,品名推奨LIST,004_113_004_001,004,113,004,001,,,267,R267,SV,4,機械部品,機械小物部品,止め輪,E型止め輪,,,,,,E型止め輪,RETAINING RING_E TYPE,21,0267,DFK辞典なし,,,RETAINING RING_E TYPE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録,,,,一般用語,軸に取り付けた部品やベアリングの抜けを防止するための金具。,,コンテンツセンターの品名をコピー,市販,340,鉄系,"鉄鋼系,SUS系",150,E型止め輪 呼び,"0.8,1.2,1.5,2,2.5,3,4,5,6,7,8,9,10,12,15,19,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",266,漢字+ひらがな+英語,Eガタトメワ,E,
2022/4/5,登録しない,4/5,品名推奨LIST,004_113_004_002,004,113,004,002,,,268,R268,SV,4,機械部品,機械小物部品,止め輪,C型穴用偏心止め輪,,,,,,C型穴用偏心止め輪,RETAINING RING_C TYPE_ECCENTRICITY_INTERNAL,43,0268,DFK辞典なし,,,RETAINING RING_C TYPE_ECCENTRICITY_INTERNAL,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録,,,,一般用語,穴に取り付けた部品やベアリングの抜けを防止するための金具。,,,市販,340,鉄系,"鉄鋼系,SUS系",152,穴用C型止め輪 呼び,"10,11,12,※13,14,※15,16,※17,18,19,20,22,※24,25,※26,28,30,32,35,※36,37,※38,40,42,45,47,※48,50,52,55,※56,60,62,※63,※65,68,※70,72,75,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",266,漢字+ひらがな+英語,Cガタアナヨウヘンシントメワ,C,
2022/4/5,登録しない,4/5,品名推奨LIST,004_113_004_003,004,113,004,003,,,269,R269,SV,4,機械部品,機械小物部品,止め輪,C型軸用偏心止め輪,,,,,,C型軸用偏心止め輪,RETAINING RING_C TYPE_ECCENTRICITY_EXTERNAL,43,0269,DFK辞典なし,,,RETAINING RING_C TYPE_ECCENTRICITY_EXTERNAL,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録,,,,一般用語,軸に取り付けた部品やベアリングの抜けを防止するための金具。,,,市販,340,鉄系,"鉄鋼系,SUS系",151,軸用C型止め輪 呼び,"10,※11,12,14,15,16,17,18,※19,20,22,※24,25,※26,28,30,32,35,※36,※38,40,※42,45,※48,50,55,※56,60,65,70,75,80",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",266,漢字+ひらがな+英語,Cガタジクヨウヘンシントメワ,C,
2022/5/12,再確定,5/12,品名任意,004_113_005,004,113,005,,,,270,270,SV,3,機械部品,機械小物部品,ばね,,,,178,2,,ばね,SPRING,6,0270,DFK辞典なし,,,SPRING,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,力を加えると元に戻ろうとする弾性力を利用した金属部品,,,,112,製作元,"購入品,内製品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",270,カタカナのみ,バネ,バ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_113_005_001,004,113,005,001,,,271,R271,SV,4,機械部品,機械小物部品,ばね,圧縮コイルばね,,,,,,圧縮コイルばね,COMPRESSION_COIL_SPRING,23,0271,圧縮コイルばね,,,COMPRESSION_COIL_SPRING,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,圧縮方向の変形に使用するコイルバネ。,,,,112,製作元,"購入品,内製品",165,線幅(mm),実数値,181,許容荷重(N),実数値,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",270,漢字+カタカナ+ひらがな,アッシュクコイルバネ,ア,
2022/5/12,登録しない,5/12,品名推奨LIST,004_113_005_002,004,113,005,002,,,272,R272,SV,4,機械部品,機械小物部品,ばね,引っ張りばね,,,,,,引っ張りばね,TENSION_SPRING,14,0272,DFK辞典なし,,,TENSION_SPRING,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,引っ張り方向の変形に使用するコイルバネ,,,"昌和発条,ミスミ",112,製作元,"購入品,内製品",165,線幅(mm),実数値,181,許容荷重(N),実数値,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",270,漢字+ひらがな,ヒッパリバネ,ヒ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_113_005_003,004,113,005,003,,,273,R273,SV,4,機械部品,機械小物部品,ばね,皿ばね,,,,,,皿ばね,DISK_SPRING,11,0273,DFK辞典なし,,,DISK_SPRING,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,ワッシャが反りかえった形のバネ。ボルトのゆるみ止めに使用される。,,,,112,製作元,"購入品,内製品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",270,漢字+ひらがな,サラバネ,サ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_113_005_004,004,113,005,004,,,1020,R1020,SV,4,機械部品,機械小物部品,ばね,ねじりばね,,,,,,ねじりばね,TORSION_SPRING,14,1020,DFK辞典なし,,,TORSION_SPRING,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,回転方向にバネの効果を発揮するバネ,,,,112,製作元,"購入品,内製品",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",270,ひらがなのみ,ネジリバネ,ネ,
2022/5/12,登録しない,5/12,品名推奨LIST,004_113_005_005,004,113,005,005,,,1506,R1506,SV,4,機械部品,機械小物部品,ばね,引っ張りばね用ポスト,,,,,,引っ張りばね用ポスト,POST_FOR_TENSION_SPRING,23,1506,DFK辞典なし,,,POST_FOR_TENSION_SPRING,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,DFK用途用語,引張バネを引っ張るための棒状のネジ棒部品,,,ミスミ,112,製作元,"購入品,内製品",424,軸端形状,"加工なし,めねじ,おねじ,V溝",130,幅W(mm),実数値,135,軸全長(mm),実数値,341,鉄+アルミ系,鉄+アルミ系,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",270,漢字+カタカナ+ひらがな,ヒッパリバネヨウポスト,ヒ,
2021/5/21,確定,5/20,分類,004_113_006,004,113,006,,,,274,274,SV,3,機械部品,機械小物部品,ピン,,,,,,,ピン,PIN,3,0274,DFK辞典なし,,,PIN,,,,分類,カタログ購入品＆製作部品,コンテンツセンタ登録,,,,一般用語,小穴に差し込んで部品同士の位置を決めてずれないようにする部材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,カタカナのみ,ピン,ピ,
2022/4/14,再確定,4/14,品名任意,004_113_006_001,004,113,006,001,,,275,275,SV,4,機械部品,機械小物部品,ピン,スプリングピン,,,5,,,スプリングピン,SPRING PIN,10,0275,スプリングピン,,,SPRING PIN,,,,品名,カタログ購入品＆製作部品,コンテンツセンタ登録,,,,一般用途用語,断面C型のピン。固定後の位置決めに使用する。,,コンテンツセンターの品名をコピー　　ノックピンは？乾,市販,340,鉄系,"鉄鋼系,SUS系",154,ピン呼び径(mm),整数値,129,長さL(mm),実数値,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",275,カタカナのみ,スプリングピン,ス,
2022/4/5,再確定,4/5,品名任意,004_113_006_002,004,113,006,002,,,276,276,SV,4,機械部品,機械小物部品,ピン,割りピン,,,1,,,割りピン,SPLIT_PIN,9,0276,DFK辞典なし,,,SPLIT_PIN,,,,品名,カタログ購入品,コンテンツセンタ登録,,,,一般用語,シャフトの先端から部品の抜け落ち防止のために使用する金具。針金の様に曲げて使用する,,,,340,鉄系,"鉄鋼系,SUS系",154,ピン呼び径(mm),整数値,129,長さL(mm),実数値,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",276,漢字+カタカナ+ひらがな,ワリピン,ワ,
2022/4/5,再確定,4/5,品名任意,004_113_006_003,004,113,006,003,,,1607,1607,SV,4,機械部品,機械小物部品,ピン,平行ピン,,,10,,,平行ピン,PARALLEL_PIN,12,1607,DFK辞典なし,,,PARALLEL_PIN,,,,品名,カタログ購入品,コンテンツセンタ登録,,,品目,一般用語,位置決めなどに使用する平行ピン　JIS　B1354でおあるがここでは購入品,,,MISUMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1607,漢字+カタカナ,ヘイコウピン,ヘ,
